,Unnamed: 0.1,Unnamed: 0,datetime,station,core,component,period,value,grade,datetime.1,station.1,core.1,component.1,period.1,value.1,grade.1,datetime.2,station.2,core.2,component.2,period.2,value.2,grade.2
0,0.0,4.0,2022-12-06T14:00:00+01:00,mc010,,co,8h,,,,,,,,,,,,,,,,
1,1.0,9.0,2022-12-06T14:00:00+01:00,mc014,,co,8h,,,,,,,,,,,,,,,,
2,2.0,14.0,2022-12-06T14:00:00+01:00,mc018,,co,8h,,,,,,,,,,,,,,,,
3,3.0,19.0,2022-12-06T14:00:00+01:00,mc027,,co,8h,,,,,,,,,,,,,,,,
4,4.0,24.0,2022-12-06T14:00:00+01:00,mc032,,co,8h,,,2022-12-07T16:00:00+01:00,mc010,,co,8h,,,2022-12-08T09:00:00+01:00,mc010,,co,8h,,
5,5.0,29.0,2022-12-06T14:00:00+01:00,mc042,,co,8h,,,,,,,,,,,,,,,,
6,6.0,34.0,2022-12-06T14:00:00+01:00,mc077,,co,8h,,,,,,,,,,,,,,,,
7,7.0,39.0,2022-12-06T14:00:00+01:00,mc085,,co,8h,,,,,,,,,,,,,,,,
8,8.0,44.0,2022-12-06T14:00:00+01:00,mc115,,co,8h,,,,,,,,,,,,,,,,
9,9.0,49.0,2022-12-06T14:00:00+01:00,mc117,,co,8h,1.0,1.0,2022-12-07T16:00:00+01:00,mc014,,co,8h,,,2022-12-08T09:00:00+01:00,mc014,,co,8h,,
10,10.0,54.0,2022-12-06T14:00:00+01:00,mc124,,co,8h,,,,,,,,,,,,,,,,
11,11.0,59.0,2022-12-06T14:00:00+01:00,mc143,,co,8h,,,,,,,,,,,,,,,,
12,12.0,64.0,2022-12-06T14:00:00+01:00,mc145,,co,8h,,,,,,,,,,,,,,,,
13,13.0,69.0,2022-12-06T14:00:00+01:00,mc171,,co,8h,,,,,,,,,,,,,,,,
14,14.0,74.0,2022-12-06T14:00:00+01:00,mc174,,co,8h,1.0,1.0,2022-12-07T16:00:00+01:00,mc018,,co,8h,,,2022-12-08T09:00:00+01:00,mc018,,co,8h,,
15,15.0,79.0,2022-12-06T14:00:00+01:00,mc190,,co,8h,,,,,,,,,,,,,,,,
